estado,NameState,year,Homicides,MortInfResp,Poverty,AccessHealth,WomenActiveEcon,Analfabeto,AveSchool,LifeExp,MortInf,HospBeds,DocNurse,NetMigration,WomenAdmin,AveSalary,GDPpc
23,Quintana Roo,2006,10.1307289697985,27.9403063572415,33.4153325903529,63.6053136099107,37.5180067484194,6.2,8.61755726748635,74.8137178861744,15.1989644661573,0.423958237559635,2.48926483257906,1.86328794085697,0.312072026943014,5109.4958865,130801.828118164
24,San Luis Potosí,2006,5.24022218542066,29.4330820483953,55.9214082192384,63.3168446342125,37.0313180805134,9.5,7.81966244686084,73.8008990037056,16.3872089233332,0.542422998735146,2.85132089600599,-0.67462860425282,0.162769426548954,6465.2592505,73940.0024792364
25,Sinaloa,2006,22.118853934731,13.6652306187473,34.1532516978911,75.7585811600273,36.5828385033173,6.1,8.64098792576038,75.0732104922662,11.9862105542296,0.762402357384831,3.74771279292785,-0.42088284355871,0.355373064061309,4495.16669375,77207.1297401438
26,Sonora,2006,9.36241924913398,20.6485163658611,37.429055470129,80.5190871405205,37.411417353434,3.6,8.98702667772694,74.5563692312082,13.7426174047669,0.897297407868681,3.7013026350883,0.118131701702308,0.112267433137027,5317.87470375,106344.176853086
27,Tabasco,2006,7.73139098435977,26.0541242397321,65.7637365221031,84.5328865893434,30.011736746998,8.3,8.15440777139445,73.8820083219858,14.7674949184884,0.615251053634895,3.65378085977725,-0.482839339366613,0.785287770537828,5589.0407,63576.7127583095
28,Tamaulipas,2006,11.0564820063744,11.0572639905982,40.0066602864414,77.0245025701527,37.8663929089172,4.3,8.79606478482949,75.1330691074704,14.4477430159093,0.825721083944263,3.64576309857589,0.106698246876544,0.392436271332901,4893.27725625,101085.059577337
29,Tlaxcala,2006,16.799264066464,49.4741377934535,61.7307794530206,48.964913793723,37.5326508962335,6.3,8.37468767183115,74.2662962407714,19.8220696113626,0.491400932853252,2.98254313907275,-0.277412446188454,0.891829914317204,5949.942697,51289.0603276017
30,Veracruz,2006,5.8243494309047,23.7636094464445,57.1561928397727,49.7159757342035,34.0193743367503,13,7.26021732915877,73.0255398051147,16.923883370889,0.634505163809157,2.9828989585419,-0.679650581978658,0.332290370847346,3645.81738825,65948.7700940522
31,Yucatán,2006,1.17485406443434,23.9319028582307,50.9172204031306,68.9871102488394,38.372952155846,10.5,7.72045657928887,74.6511663600018,13.6721807650159,0.744430257191576,3.68370151657639,-0.119781712114828,0.435993696700037,3924.3042285,78864.1126028831
32,Zacatecas,2006,3.45302675059824,17.9336582741416,69.3419092933028,54.2293016944002,36.2123156126153,6.8,7.34175985239093,74.4612198238689,14.2222774275689,0.494473430685668,2.85703433344498,-0.905383614006858,0.166699837463097,4077.08581475,50714.0611530502
01,Aguascalientes,2007,4.32467926766411,6.97036819033752,40.8663731899638,60.1412846239118,37.6169427233683,3.7,8.91503018122746,75.1288273281819,12.5889846384414,0.774029330151311,4.32556185526975,-0.182519116847538,0.496867408259813,4981.490023,110444.245470195
02,Baja California,2007,87.404364060557,17.2465684401324,33.9061809320244,62.3066142456579,37.1671056989137,2.8,9.02566101923297,73.2499971444122,16.3448841939974,0.649618989914797,2.8039475531292,0.718131438041438,0.212227125625184,6566.6665375,121219.674773078
03,Baja California Sur,2007,0.920512738745663,13.6848047349424,31.5552704973305,68.2390329759048,35.0326192939495,3.4,9.1161051622862,75.2593964169429,13.4240701034772,0.809046266157407,4.37877048913945,1.99387998405854,0.123853311439518,7424.24995775,148569.931745358
04,Campeche,2007,4.52574014708656,11.2820127110677,56.4041904059303,46.5735118486391,34.5941541802647,9.3,8.12723359167515,74.4100116691748,13.3777163672905,0.86240492802816,4.60619774970143,0.254447168269533,0.32637072084609,4892.049209,135753.610546585
05,Coahuila,2007,4.54200964782909,9.15402191106685,26.1625136519959,73.4076596300552,35.2446740132794,3,9.20503297656912,75.194302855795,10.9693551625326,0.949692926364264,3.80627915942041,-0.12815223915445,0.220137632238307,5641.58140025,130362.638636717
06,Colima,2007,4.86108635557875,4.95123038074962,34.9554748065051,57.665609110324,39.7015046558813,5.8,8.63169860086057,75.1915853283284,12.8972823583602,0.879856630359753,4.91779902972716,0.444303292899897,0.310883280757098,5468.65913325,102533.505549596
